time_s,time_h,Locker_Showers_mdot_kg_s,Locker_Showers_temp_C,Breakroom_Sink_mdot_kg_s,Breakroom_Sink_temp_C,Process_Wash_mdot_kg_s,Process_Wash_temp_C
7440.0,2.0667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7480.0,2.0778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7520.0,2.0889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7560.0,2.1000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7600.0,2.1111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7640.0,2.1222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7680.0,2.1333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7720.0,2.1444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7760.0,2.1556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7800.0,2.1667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7840.0,2.1778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7880.0,2.1889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7920.0,2.2000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
7960.0,2.2111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8000.0,2.2222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8040.0,2.2333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8080.0,2.2444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8120.0,2.2556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8160.0,2.2667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8200.0,2.2778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8240.0,2.2889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8280.0,2.3000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8320.0,2.3111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8360.0,2.3222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8400.0,2.3333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8440.0,2.3444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8480.0,2.3556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8520.0,2.3667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8560.0,2.3778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8600.0,2.3889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8640.0,2.4000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8680.0,2.4111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8720.0,2.4222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8760.0,2.4333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8800.0,2.4444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8840.0,2.4556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8880.0,2.4667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8920.0,2.4778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
8960.0,2.4889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9000.0,2.5000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9040.0,2.5111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9080.0,2.5222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9120.0,2.5333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9160.0,2.5444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9200.0,2.5556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9240.0,2.5667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9280.0,2.5778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9320.0,2.5889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9360.0,2.6000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9400.0,2.6111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9440.0,2.6222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9480.0,2.6333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9520.0,2.6444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9560.0,2.6556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9600.0,2.6667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9640.0,2.6778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9680.0,2.6889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9720.0,2.7000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9760.0,2.7111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9800.0,2.7222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9840.0,2.7333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9880.0,2.7444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9920.0,2.7556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
9960.0,2.7667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10000.0,2.7778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10040.0,2.7889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10080.0,2.8000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10120.0,2.8111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10160.0,2.8222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10200.0,2.8333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10240.0,2.8444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10280.0,2.8556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10320.0,2.8667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10360.0,2.8778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10400.0,2.8889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10440.0,2.9000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10480.0,2.9111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10520.0,2.9222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10560.0,2.9333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10600.0,2.9444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10640.0,2.9556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10680.0,2.9667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10720.0,2.9778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10760.0,2.9889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10800.0,3.0000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10840.0,3.0111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10880.0,3.0222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10920.0,3.0333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
10960.0,3.0444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11000.0,3.0556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11040.0,3.0667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11080.0,3.0778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11120.0,3.0889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11160.0,3.1000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11200.0,3.1111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11240.0,3.1222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11280.0,3.1333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11320.0,3.1444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11360.0,3.1556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11400.0,3.1667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11440.0,3.1778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11480.0,3.1889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11520.0,3.2000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11560.0,3.2111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11600.0,3.2222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11640.0,3.2333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11680.0,3.2444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11720.0,3.2556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11760.0,3.2667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11800.0,3.2778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11840.0,3.2889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11880.0,3.3000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11920.0,3.3111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
11960.0,3.3222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12000.0,3.3333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12040.0,3.3444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12080.0,3.3556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12120.0,3.3667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12160.0,3.3778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12200.0,3.3889,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12240.0,3.4000,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12280.0,3.4111,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12320.0,3.4222,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12360.0,3.4333,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12400.0,3.4444,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12440.0,3.4556,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12480.0,3.4667,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
12520.0,3.4778,0.0000,25.0000,0.0000,25.0000,0.0000,25.0000
